Age,Gender,Marital_Status,Education,Employment_Status,Years_Employed,Annual_Income,Credit_Score,Loan_Amount,Existing_Debt,Housing_Status,Years_At_Residence,Dependents,Num_Credit_Cards,Previous_Defaults,Debt_To_Income_Ratio,Approval_Status
44,Female,Married,Graduate,Salaried,5.5,70301.0,685.0,25071.0,8654.0,Living with Family,1.6,3,4,0,0.48,Approved
26,Male,Married,Post Graduate,Unemployed,2.1,37619.0,719.0,14509.0,15530.0,Rented,9.5,1,0,0,0.798,Rejected
58,Male,Married,High School,Salaried,9.8,67073.0,643.0,25691.0,11159.0,Rented,3.2,0,1,0,0.549,Rejected
41,Male,Married,Graduate,Salaried,9.5,58769.0,657.0,24133.0,7645.0,Rented,4.6,2,7,0,0.541,Approved
43,Male,Single,Post Graduate,Self-Employed,18.6,100754.0,664.0,14453.0,14611.0,Mortgaged,0.0,4,2,0,0.288,Approved
37,Female,Widowed,Post Graduate,Retired,0.0,47227.0,827.0,17337.0,11147.0,Living with Family,11.7,4,2,0,0.603,Approved
29,Male,Divorced,Post Graduate,Salaried,0.0,68431.0,682.0,18723.0,33011.0,Living with Family,1.4,3,5,0,0.756,Approved
62,Female,Married,Graduate,Business Owner,16.3,68581.0,762.0,25591.0,17186.0,Rented,0.5,2,7,0,0.624,Approved
56,Male,Married,Post Graduate,Self-Employed,5.7,70553.0,521.0,15258.0,12764.0,Living with Family,3.8,2,3,2,0.397,Rejected
49,Male,Married,Post Graduate,Salaried,3.7,50171.0,512.0,18763.0,0.0,Living with Family,1.3,1,6,1,0.374,Rejected
39,Male,Married,High School,Business Owner,6.9,22196.0,620.0,2266.0,11576.0,Rented,5.1,0,4,2,0.624,Rejected
58,Female,Married,Graduate,Self-Employed,0.0,55203.0,673.0,7616.0,0.0,Owned,0.0,2,1,0,0.138,Rejected
45,Female,Single,Graduate,Business Owner,7.9,51462.0,763.0,8941.0,14321.0,Mortgaged,7.4,0,4,0,0.452,Approved
40,Male,Single,Graduate,Business Owner,5.6,108249.0,615.0,20196.0,6672.0,Rented,6.8,0,7,0,0.248,Rejected
41,Female,Single,Post Graduate,Retired,11.4,69798.0,687.0,9208.0,2851.0,Rented,3.6,3,7,0,0.173,Approved
31,Male,Divorced,Graduate,Business Owner,10.3,94025.0,469.0,16567.0,21784.0,Mortgaged,0.0,4,7,2,0.408,Rejected
25,Male,Married,High School,Salaried,10.7,68194.0,651.0,14064.0,6045.0,Mortgaged,1.6,3,0,0,0.295,Approved
45,Male,Divorced,High School,Business Owner,7.0,47172.0,540.0,15568.0,12153.0,Living with Family,4.2,4,6,0,0.588,Rejected
60,Female,Married,Post Graduate,Self-Employed,14.0,80028.0,669.0,23350.0,6871.0,Mortgaged,0.4,2,3,0,0.378,Approved
23,Female,Single,High School,Salaried,8.9,74342.0,813.0,17015.0,9616.0,Owned,0.9,3,3,0,0.358,Approved
59,Female,Divorced,Post Graduate,Self-Employed,3.3,90129.0,563.0,13285.0,23323.0,Rented,7.1,1,3,1,0.406,Rejected
58,Male,Married,High School,Business Owner,2.0,77395.0,597.0,19164.0,16319.0,Mortgaged,4.5,2,5,0,0.458,Rejected
33,Male,Single,Graduate,Salaried,2.5,55434.0,635.0,30075.0,20463.0,Owned,4.4,0,4,0,0.912,Rejected
49,Female,Single,Post Graduate,Salaried,8.9,97524.0,678.0,16007.0,11754.0,Rented,5.6,3,0,0,0.285,Approved
28,Male,Single,Graduate,Self-Employed,0.0,50112.0,719.0,3986.0,0.0,Living with Family,3.5,2,3,0,0.08,Approved
55,Female,Single,Post Graduate,Salaried,6.8,103316.0,578.0,3162.0,3525.0,Mortgaged,3.8,2,7,0,0.065,Approved
52,Female,Single,High School,Unemployed,1.8,44260.0,370.0,12477.0,77.0,Mortgaged,5.4,4,1,1,0.284,Rejected
36,Male,Married,Graduate,Salaried,0.0,40267.0,656.0,4736.0,16349.0,Mortgaged,6.4,0,1,0,0.524,Approved
24,Female,Single,Graduate,Business Owner,0.5,77417.0,827.0,1000.0,9123.0,Rented,5.5,2,0,0,0.131,Approved
64,Female,Single,Post Graduate,Business Owner,5.9,71593.0,678.0,12366.0,19076.0,Mortgaged,8.4,1,5,0,0.439,Rejected
41,Male,Single,High School,Salaried,9.8,76722.0,731.0,18426.0,17303.0,Mortgaged,4.1,3,6,0,0.466,Approved
61,Female,Married,Graduate,Self-Employed,2.6,43032.0,643.0,27455.0,7994.0,Rented,0.0,3,6,0,0.824,Rejected
51,Female,Widowed,Graduate,Salaried,0.0,70806.0,742.0,14842.0,22966.0,Living with Family,7.3,3,0,0,0.534,Approved
56,Male,Married,Doctorate,Salaried,,123917.0,614.0,17788.0,20674.0,Mortgaged,3.3,4,7,1,0.31,Approved
55,Female,Single,Post Graduate,Self-Employed,11.6,86651.0,688.0,19641.0,9652.0,Rented,1.7,1,7,0,0.338,Approved
29,Male,Married,Post Graduate,Salaried,10.7,104139.0,732.0,15745.0,20479.0,Rented,6.1,1,6,2,0.348,Approved
37,Female,Divorced,Graduate,Business Owner,14.1,89968.0,798.0,8993.0,20311.0,Owned,5.1,1,6,0,0.326,Approved
42,Female,Married,Graduate,Self-Employed,6.5,95049.0,633.0,34540.0,12581.0,Rented,0.2,4,6,0,0.496,Approved
43,Female,Divorced,Post Graduate,Salaried,5.3,63940.0,580.0,6106.0,7672.0,Mortgaged,6.0,2,0,1,0.215,Rejected
22,Male,Divorced,Post Graduate,Salaried,12.8,83609.0,641.0,18748.0,0.0,Owned,9.6,3,5,0,0.224,Approved
45,Female,Married,Post Graduate,Unemployed,12.7,27876.0,514.0,7981.0,10883.0,Owned,5.0,1,7,1,0.677,Rejected
27,Male,Widowed,Post Graduate,Salaried,9.1,81851.0,645.0,16016.0,3554.0,Owned,3.2,4,4,0,0.239,Approved
54,Male,Single,Post Graduate,Business Owner,10.4,73994.0,684.0,18685.0,,Rented,0.0,2,7,0,0.396,Approved
51,Male,Divorced,High School,Salaried,0.0,28037.0,470.0,13181.0,12878.0,Rented,10.2,4,0,2,0.929,Rejected
62,Female,Divorced,Graduate,Retired,4.7,28232.0,716.0,4078.0,5932.0,Rented,2.4,2,4,0,0.355,Rejected
54,Male,Divorced,Doctorate,Salaried,14.5,95534.0,544.0,11874.0,18701.0,Rented,0.0,0,7,0,0.32,Approved
37,Male,Married,Graduate,Self-Employed,10.0,74570.0,534.0,25117.0,26248.0,Mortgaged,4.3,1,4,1,0.689,Rejected
64,Female,Married,High School,Self-Employed,0.0,57605.0,709.0,1481.0,2781.0,Living with Family,7.0,2,3,0,0.074,Approved
39,Male,Single,Graduate,Salaried,3.3,86005.0,866.0,29678.0,6127.0,Living with Family,7.7,0,2,0,0.416,Approved
35,Male,Married,Graduate,Business Owner,13.7,101326.0,718.0,15854.0,7161.0,Mortgaged,2.0,3,6,0,0.227,Approved
61,Male,Single,Post Graduate,Salaried,8.3,66154.0,510.0,21433.0,,Rented,3.7,1,7,2,0.619,Rejected
37,Male,Married,Post Graduate,Salaried,,71843.0,595.0,5514.0,,Rented,4.0,4,3,0,0.24,Rejected
24,Female,Married,High School,Salaried,7.1,62861.0,661.0,13659.0,4939.0,Mortgaged,6.9,4,3,0,0.296,Approved
42,Male,Single,Graduate,Self-Employed,5.6,69793.0,644.0,9006.0,,Owned,5.8,0,3,3,0.488,Rejected
56,Male,Single,High School,Unemployed,3.4,52902.0,716.0,17658.0,5305.0,Mortgaged,4.8,1,5,0,0.434,Approved
29,Female,Single,Post Graduate,Salaried,1.8,75437.0,509.0,5173.0,10013.0,Living with Family,6.7,3,3,1,0.201,Rejected
41,Female,Married,High School,Unemployed,11.1,48807.0,703.0,9415.0,1727.0,Rented,0.0,4,5,0,0.228,Rejected
26,Female,Married,Graduate,Business Owner,7.2,75908.0,824.0,33607.0,17284.0,Rented,5.3,4,7,0,0.67,Approved
51,Female,Married,Graduate,Salaried,9.5,79989.0,801.0,20822.0,16271.0,Living with Family,4.7,0,2,0,0.464,Approved
42,Female,Single,Graduate,Salaried,8.7,79820.0,815.0,18418.0,11774.0,Owned,3.8,1,1,0,0.378,Approved
35,Male,Married,Graduate,Salaried,13.0,76298.0,767.0,18273.0,14303.0,Living with Family,3.3,0,4,0,0.427,Approved
31,Female,Married,Post Graduate,Salaried,8.3,68902.0,580.0,28128.0,17868.0,Mortgaged,4.4,1,4,0,0.668,Rejected
46,Female,Single,Graduate,Business Owner,10.1,86070.0,622.0,13861.0,15016.0,Rented,2.3,3,3,0,0.336,Rejected
51,Male,Single,High School,Self-Employed,6.8,66698.0,797.0,23428.0,18823.0,Mortgaged,12.2,1,1,1,0.633,Approved
63,Male,Married,Graduate,Salaried,1.3,68096.0,644.0,1000.0,5569.0,Mortgaged,8.1,3,0,0,0.096,Approved
40,Male,Single,Graduate,Business Owner,4.9,26679.0,499.0,13921.0,0.0,Mortgaged,7.3,1,3,0,0.522,Rejected
28,Female,Single,Graduate,Salaried,8.9,69831.0,750.0,12219.0,2676.0,Mortgaged,2.4,2,5,0,0.213,Approved
58,Female,Single,Post Graduate,Unemployed,9.4,71674.0,791.0,10281.0,26560.0,Owned,1.1,2,4,0,0.514,Approved
49,Female,Single,Graduate,Self-Employed,13.3,55334.0,663.0,21654.0,7101.0,Mortgaged,3.4,1,6,0,0.52,Approved
52,Male,Single,Post Graduate,Salaried,3.7,101518.0,744.0,13789.0,21806.0,Rented,4.3,0,1,0,0.351,Approved
25,Male,Single,High School,Self-Employed,7.1,44361.0,595.0,13553.0,13332.0,Living with Family,0.0,1,7,0,0.606,Rejected
35,Male,Married,Post Graduate,Salaried,5.4,78105.0,598.0,7943.0,12760.0,Owned,5.4,3,5,1,0.265,Rejected
55,Female,Married,High School,Retired,14.1,56401.0,507.0,11458.0,1782.0,Owned,7.2,3,5,0,0.235,Rejected
58,Female,Married,Graduate,Salaried,7.9,55527.0,573.0,1000.0,3374.0,Rented,0.0,0,6,0,0.079,Rejected
40,Female,Married,Graduate,Unemployed,8.0,60614.0,824.0,12160.0,7946.0,Rented,1.3,1,7,0,0.332,Approved
57,Female,Married,Graduate,Retired,5.8,79978.0,397.0,2264.0,7923.0,Rented,7.7,4,6,0,0.127,Rejected
58,Female,Single,High School,Self-Employed,4.9,33608.0,635.0,28902.0,13371.0,Living with Family,5.1,4,3,0,1.258,Rejected
38,Female,Single,Post Graduate,Business Owner,0.0,82661.0,627.0,21603.0,3573.0,Owned,1.4,0,5,0,0.305,Approved
61,Male,Single,Graduate,Self-Employed,0.0,95079.0,729.0,23217.0,3866.0,Mortgaged,6.2,3,3,0,0.285,Approved
33,Male,Married,Doctorate,Salaried,6.9,116999.0,503.0,3112.0,15979.0,Living with Family,2.2,3,1,0,0.163,Rejected
31,Male,Married,Post Graduate,Retired,6.3,42627.0,601.0,22543.0,24189.0,Rented,3.3,0,7,0,1.096,Rejected
51,Male,Married,Graduate,Salaried,6.9,92217.0,642.0,8995.0,9684.0,Rented,0.6,1,4,0,0.203,Approved
49,Male,Married,Post Graduate,Unemployed,10.7,8000.0,706.0,17491.0,12548.0,Living with Family,4.1,0,6,0,3.754,Rejected
27,Male,Widowed,High School,Self-Employed,6.5,65913.0,694.0,13320.0,7826.0,Mortgaged,7.1,3,5,0,0.321,Rejected
58,Female,Single,Graduate,Salaried,,53448.0,521.0,2592.0,8486.0,Owned,2.6,4,2,0,0.207,Rejected
29,Male,Married,Graduate,Salaried,5.0,77779.0,555.0,5662.0,,Owned,5.9,0,6,2,0.27,Rejected
57,Female,Married,Post Graduate,Salaried,7.2,89924.0,625.0,20934.0,6202.0,Rented,3.9,1,2,0,0.302,Rejected
21,Female,Married,High School,Salaried,4.1,59099.0,712.0,20647.0,13440.0,Rented,7.2,2,5,0,0.577,Approved
56,Female,Married,Graduate,Business Owner,11.3,92712.0,618.0,2648.0,17936.0,Owned,2.6,0,6,1,0.222,Approved
56,Female,Married,Graduate,Salaried,5.9,61382.0,852.0,25230.0,7049.0,Mortgaged,8.7,1,5,0,0.526,Approved
56,Male,Single,Graduate,Retired,7.3,47790.0,610.0,11565.0,4406.0,Rented,6.0,1,3,0,0.334,Rejected
50,Female,Married,High School,Salaried,1.9,71460.0,624.0,3461.0,5182.0,Owned,4.7,0,5,0,0.121,Approved
42,Male,Married,Graduate,Self-Employed,11.3,71273.0,647.0,10057.0,14214.0,Rented,4.8,3,0,0,0.341,Approved
52,Female,Married,Post Graduate,Salaried,13.2,80628.0,678.0,2801.0,2581.0,Mortgaged,2.6,3,6,0,0.067,Approved
33,Male,Widowed,High School,Salaried,0.0,49795.0,616.0,8471.0,,Living with Family,2.4,0,4,2,0.348,Rejected
56,Male,Single,Graduate,Self-Employed,8.0,63434.0,655.0,10696.0,11259.0,Rented,4.8,0,4,0,0.346,Rejected
46,Female,Married,Doctorate,Salaried,5.5,89725.0,604.0,19643.0,12465.0,Owned,0.4,0,1,1,0.358,Rejected
41,Female,Married,Post Graduate,Self-Employed,7.4,89636.0,727.0,22314.0,7888.0,Rented,,4,1,0,0.337,Approved
43,Male,Married,High School,Self-Employed,8.3,40805.0,585.0,24567.0,15667.0,Rented,1.2,2,2,0,0.986,Rejected
46,Female,Divorced,Graduate,Salaried,0.0,92374.0,732.0,22076.0,8586.0,Mortgaged,5.7,2,6,0,0.332,Approved
22,Male,Single,High School,Salaried,9.8,65849.0,661.0,1000.0,3762.0,Owned,5.8,0,0,0,0.072,Approved
27,Female,Married,Post Graduate,Salaried,11.6,56389.0,589.0,1996.0,10366.0,Rented,7.8,0,5,0,0.219,Rejected
32,Male,Married,Graduate,Salaried,12.1,80841.0,529.0,24881.0,3783.0,Rented,3.0,4,7,0,0.355,Rejected
26,Male,Divorced,Graduate,Business Owner,1.3,56424.0,496.0,10805.0,20081.0,Rented,1.6,4,5,1,0.547,Rejected
40,Male,Married,High School,Salaried,5.8,57725.0,596.0,13753.0,13180.0,Mortgaged,0.0,2,2,1,0.467,Approved
51,Male,Widowed,Graduate,Salaried,3.3,65225.0,687.0,20693.0,771.0,Rented,4.8,0,2,0,0.329,Rejected
50,Male,Divorced,High School,Self-Employed,0.0,61200.0,649.0,26614.0,10245.0,Rented,8.2,0,2,0,0.602,Approved
42,Male,Single,Post Graduate,Salaried,2.9,93605.0,487.0,19230.0,6640.0,Mortgaged,3.8,4,1,1,0.276,Rejected
59,Male,Divorced,Graduate,Retired,0.6,56525.0,631.0,7261.0,17220.0,Owned,4.1,2,4,0,0.433,Rejected
46,Male,Widowed,Graduate,Unemployed,7.7,78303.0,500.0,4017.0,12209.0,Mortgaged,4.0,1,6,1,0.207,Rejected
24,Female,Single,Post Graduate,Business Owner,0.0,72954.0,561.0,5366.0,14037.0,Rented,4.8,0,4,0,0.266,Rejected
55,Male,Married,High School,Self-Employed,1.1,74572.0,773.0,26021.0,4055.0,Owned,7.0,2,0,0,0.403,Approved
46,Female,Single,High School,Salaried,3.4,81141.0,683.0,22745.0,7452.0,Living with Family,9.8,4,6,0,0.372,Rejected
49,Female,Married,Graduate,Salaried,,79982.0,733.0,15414.0,12317.0,Owned,5.5,4,3,0,0.347,Approved
46,Male,Single,Post Graduate,Business Owner,19.9,112168.0,821.0,2173.0,7741.0,Rented,5.7,3,4,0,0.088,Approved
45,Female,Married,High School,Salaried,7.5,76863.0,687.0,23027.0,1866.0,Owned,3.3,0,4,0,0.324,Approved
25,Male,Married,Post Graduate,Salaried,0.8,74036.0,649.0,16704.0,22744.0,Rented,3.7,3,5,2,0.533,Rejected
46,Male,Married,Graduate,Self-Employed,2.6,54230.0,682.0,8100.0,11260.0,Rented,3.6,3,0,0,0.357,Rejected
56,Female,Single,Graduate,Business Owner,9.3,72197.0,627.0,14512.0,399.0,Rented,2.9,4,1,0,0.207,Rejected
34,Female,Married,Graduate,Self-Employed,0.0,66264.0,659.0,19563.0,6098.0,Living with Family,4.4,0,4,0,0.387,Rejected
48,Female,Married,High School,Salaried,,54906.0,599.0,10990.0,2441.0,Owned,5.9,4,3,0,0.245,Rejected
22,Male,Married,High School,Retired,7.4,33660.0,667.0,5674.0,9114.0,Owned,4.2,3,0,1,0.439,Rejected
36,Female,Single,Post Graduate,Salaried,5.4,65215.0,782.0,16700.0,5387.0,Owned,3.2,3,7,0,0.339,Approved
40,Male,Single,Graduate,Retired,0.0,34291.0,524.0,17268.0,7101.0,Mortgaged,4.4,0,1,0,0.711,Rejected
65,Male,Married,Graduate,Salaried,10.6,63025.0,613.0,1000.0,0.0,Rented,1.1,4,1,0,0.016,Approved
30,Male,Divorced,Doctorate,Retired,2.2,68876.0,640.0,14352.0,5673.0,Owned,6.4,0,7,0,0.291,Rejected
33,Female,Single,High School,Unemployed,6.8,33051.0,594.0,7417.0,16707.0,Rented,2.8,1,1,0,0.73,Rejected
39,Male,Married,Graduate,Salaried,5.2,55708.0,646.0,19290.0,22793.0,Mortgaged,0.5,0,4,0,0.755,Approved
65,Female,Single,Graduate,Business Owner,0.0,80850.0,595.0,1000.0,7876.0,Living with Family,5.4,1,4,2,0.11,Rejected
59,Female,Married,High School,Salaried,4.8,92740.0,753.0,3536.0,21629.0,Mortgaged,5.5,3,7,1,0.271,Approved
22,Female,Single,Doctorate,Salaried,0.0,113492.0,571.0,1000.0,30887.0,Living with Family,1.4,4,7,1,0.281,Rejected
31,Female,Married,Doctorate,Salaried,2.7,74331.0,622.0,18734.0,7430.0,Rented,5.9,4,3,0,0.352,Approved
57,Female,Single,Graduate,Self-Employed,8.2,62995.0,725.0,1511.0,13086.0,Living with Family,5.9,0,0,0,0.232,Approved
23,Male,Single,Doctorate,Salaried,9.5,76678.0,632.0,3064.0,21118.0,Rented,9.9,4,6,1,0.315,Approved
59,Male,Single,High School,Self-Employed,5.9,57821.0,527.0,14180.0,5513.0,Mortgaged,3.3,0,5,0,0.341,Rejected
33,Female,Single,Doctorate,Retired,1.6,83994.0,539.0,13566.0,20604.0,Rented,3.8,3,0,1,0.407,Rejected
62,Male,Married,Post Graduate,Unemployed,2.8,56651.0,615.0,20732.0,7472.0,Mortgaged,2.2,0,1,0,0.498,Rejected
34,Male,Widowed,High School,Salaried,2.7,36541.0,717.0,21639.0,16663.0,Mortgaged,5.5,4,2,0,1.048,Rejected
40,Male,Married,Graduate,Self-Employed,0.0,49309.0,747.0,25172.0,21134.0,Mortgaged,4.0,1,6,0,0.939,Rejected
50,Male,Divorced,Post Graduate,Salaried,6.4,101964.0,596.0,29532.0,19068.0,Living with Family,7.0,4,2,0,0.477,Approved
26,Male,Married,Graduate,Salaried,0.0,72144.0,602.0,24384.0,6490.0,Rented,2.7,2,7,0,0.428,Rejected
46,Male,Single,Graduate,Retired,6.4,42135.0,634.0,17993.0,21789.0,Owned,5.4,2,0,2,0.944,Rejected
43,Female,Single,Graduate,Retired,0.0,28889.0,605.0,16956.0,5252.0,Rented,3.3,2,4,0,0.769,Rejected
56,Male,Married,High School,Salaried,0.0,51690.0,679.0,20550.0,0.0,Mortgaged,0.0,1,7,0,0.398,Approved
65,Female,Single,High School,Salaried,9.3,59164.0,539.0,1000.0,15231.0,Owned,5.9,2,5,2,0.274,Rejected
50,Female,Divorced,High School,Salaried,6.1,35338.0,559.0,13608.0,23543.0,Owned,0.0,3,4,2,1.051,Rejected
39,Male,Married,Post Graduate,Salaried,,73451.0,634.0,1000.0,6824.0,Owned,3.5,0,3,0,0.107,Approved
39,Female,Married,Graduate,Salaried,3.2,59157.0,767.0,8386.0,20647.0,Rented,3.6,0,4,0,0.491,Approved
39,Female,Married,Graduate,Salaried,7.3,60998.0,552.0,1717.0,9621.0,Owned,4.0,2,2,0,0.186,Rejected
57,Female,Married,High School,Salaried,2.9,47906.0,556.0,18500.0,4438.0,Owned,4.1,4,4,1,0.479,Rejected
35,Male,Married,High School,Salaried,4.3,61808.0,784.0,20410.0,6808.0,Mortgaged,4.1,1,0,0,0.44,Approved
28,Male,Single,Graduate,Unemployed,7.2,45092.0,647.0,25945.0,3882.0,Living with Family,5.1,2,1,0,0.661,Rejected
36,Male,Single,High School,Business Owner,6.2,88174.0,681.0,6293.0,19540.0,Rented,3.7,4,5,0,0.293,Rejected
22,Female,Single,Graduate,Self-Employed,1.0,65461.0,757.0,9080.0,13042.0,Mortgaged,11.8,1,7,0,0.338,Approved
25,Female,Single,Graduate,Salaried,6.1,84977.0,732.0,24745.0,8506.0,Rented,3.0,1,3,0,0.391,Approved
25,Female,Married,Graduate,Business Owner,4.6,52316.0,687.0,10392.0,18959.0,Owned,0.3,4,5,1,0.561,Approved
55,Female,Single,Graduate,Salaried,14.6,80873.0,743.0,8532.0,6818.0,Living with Family,0.0,2,3,1,0.19,Approved
53,Female,Single,Post Graduate,Unemployed,5.5,49247.0,371.0,21413.0,11917.0,Owned,,0,0,3,0.677,Rejected
52,Female,Divorced,High School,Salaried,6.7,72060.0,649.0,19668.0,0.0,Owned,0.0,1,7,0,0.273,Rejected
41,Male,Widowed,Post Graduate,Retired,7.3,77144.0,616.0,23614.0,0.0,Mortgaged,0.4,4,3,0,0.306,Approved
53,Female,Married,High School,Salaried,4.4,85312.0,719.0,19341.0,512.0,Owned,0.0,4,0,0,0.233,Approved
28,Male,Married,High School,Business Owner,2.4,45387.0,629.0,11453.0,21517.0,Owned,5.4,4,0,2,0.726,Rejected
61,Male,Married,Graduate,Salaried,8.3,59667.0,440.0,27368.0,14843.0,Rented,8.0,2,1,0,0.707,Rejected
43,Male,Single,High School,Business Owner,8.3,73612.0,547.0,22949.0,2055.0,Mortgaged,1.2,3,5,0,0.34,Rejected
63,Female,Married,Graduate,Self-Employed,16.4,73424.0,503.0,14846.0,0.0,Owned,5.3,0,2,0,0.202,Rejected
27,Male,Single,Post Graduate,Salaried,9.7,70746.0,612.0,22976.0,5762.0,Rented,0.0,3,4,0,0.406,Rejected
43,Male,Married,Post Graduate,Business Owner,9.8,101539.0,692.0,14880.0,12997.0,Rented,1.8,2,1,0,0.275,Approved
52,Male,Widowed,Graduate,Salaried,9.6,64725.0,834.0,6654.0,15669.0,Living with Family,5.8,0,7,0,0.345,Approved
43,Male,Married,Doctorate,Self-Employed,2.5,97360.0,550.0,15996.0,10947.0,Owned,3.1,4,7,0,0.277,Rejected
41,Male,Widowed,Graduate,Salaried,0.0,34402.0,858.0,32337.0,948.0,Rented,7.0,2,7,0,0.968,Approved
28,Female,Married,High School,Business Owner,1.0,55619.0,689.0,24373.0,14825.0,Rented,0.0,4,4,0,0.705,Rejected
38,Female,Married,Post Graduate,Unemployed,9.4,62285.0,738.0,18743.0,12157.0,Rented,1.8,4,0,0,0.496,Approved
31,Male,Married,High School,Salaried,13.1,67838.0,751.0,6930.0,14917.0,Owned,5.4,2,0,0,0.322,Approved
34,Male,Married,High School,Business Owner,9.7,81313.0,560.0,4355.0,1873.0,Mortgaged,5.3,0,0,0,0.077,Rejected
51,Male,Married,High School,Unemployed,5.2,25280.0,609.0,12800.0,13107.0,Owned,5.6,0,3,0,1.025,Rejected
49,Male,Single,Graduate,Self-Employed,14.4,82018.0,595.0,9533.0,15947.0,Rented,4.6,1,7,0,0.311,Approved
48,Female,Married,Graduate,Salaried,3.8,67170.0,745.0,15160.0,0.0,Rented,0.6,1,6,0,0.226,Approved
37,Female,Single,Graduate,Salaried,0.3,78469.0,585.0,16358.0,4075.0,Owned,1.7,1,4,0,0.26,Rejected
64,Female,Married,Graduate,Salaried,7.3,43891.0,642.0,2197.0,0.0,Owned,10.9,4,5,0,0.05,Approved
24,Male,Single,Post Graduate,Salaried,12.5,43372.0,601.0,7458.0,2501.0,Living with Family,0.2,3,3,0,0.23,Rejected
36,Female,Married,Post Graduate,Salaried,1.8,103186.0,795.0,11809.0,8171.0,Mortgaged,0.0,0,4,0,0.194,Approved
26,Male,Single,High School,Business Owner,0.0,49766.0,586.0,18926.0,,Rented,6.0,3,4,0,0.38,Rejected
36,Male,Single,High School,Self-Employed,6.2,23919.0,562.0,19263.0,17898.0,Living with Family,0.8,0,4,0,1.554,Rejected
64,Female,Married,Graduate,Self-Employed,9.9,67016.0,729.0,5699.0,18013.0,Owned,9.4,0,3,0,0.354,Approved
37,Female,Single,High School,Salaried,0.0,43665.0,635.0,3977.0,7957.0,Rented,12.2,3,5,0,0.273,Rejected
61,Female,Widowed,Graduate,Salaried,10.9,81453.0,812.0,6481.0,3746.0,Rented,3.3,1,4,0,0.126,Approved
43,Female,Married,Graduate,Business Owner,0.0,80860.0,694.0,22169.0,8649.0,Mortgaged,4.9,2,2,0,0.381,Approved
52,Female,Single,Post Graduate,Self-Employed,9.6,76126.0,711.0,10736.0,20673.0,Mortgaged,0.0,4,7,0,0.413,Approved
41,Female,Single,High School,Retired,0.0,56721.0,720.0,15958.0,,Living with Family,7.1,1,3,0,0.528,Approved
32,Male,Divorced,Graduate,Self-Employed,0.0,39203.0,627.0,18754.0,0.0,Owned,0.0,0,4,1,0.478,Rejected
55,Male,Married,Graduate,Salaried,9.1,30881.0,732.0,26048.0,0.0,Owned,0.0,4,4,0,0.843,Approved
64,Male,Married,Post Graduate,Self-Employed,12.1,88547.0,750.0,4015.0,1752.0,Mortgaged,4.4,1,2,0,0.065,Approved
32,Male,Single,Graduate,Business Owner,6.0,72757.0,656.0,25916.0,8655.0,Rented,5.6,3,0,0,0.475,Approved
56,Male,Married,Post Graduate,Salaried,18.0,61098.0,578.0,20201.0,0.0,Mortgaged,0.0,0,1,0,0.331,Approved
32,Male,Divorced,Post Graduate,Self-Employed,0.9,86778.0,650.0,30009.0,7352.0,Owned,2.4,0,7,0,0.431,Approved
